date,home,region,city
2013-02-03,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-04,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-05,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-06,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-07,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-08,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-09,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-10,"Skopje, MK",North Macedonia,"Popova Sapka, North Macedonia"
2013-02-11,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-12,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-13,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-14,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-15,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-16,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-17,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-18,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-19,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-20,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
2013-02-21,"Skopje, MK",North Macedonia,"Skopje, North Macedonia"
