date,home,region,city
2012-04-19,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-20,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-21,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-22,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-23,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-24,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-25,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-26,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-27,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-28,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-29,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-04-30,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-01,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-02,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-03,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-04,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-05,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-06,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-07,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-08,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-09,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-10,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-11,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-12,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-13,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-14,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-15,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-16,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-17,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-18,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-19,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-20,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-21,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-22,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-23,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-24,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-25,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-26,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-27,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-28,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-29,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-30,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-05-31,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-01,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-02,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-03,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-04,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-05,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-06,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-07,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-08,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-09,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-10,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-11,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-12,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-13,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-14,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-15,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-16,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-17,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-18,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-19,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-20,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-21,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-22,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-23,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-24,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-25,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-26,"Carlisle, PA",Pennsylvania,"Carlisle, Pennsylvania"
2012-06-27,"Carlisle, PA",Ohio,"Springfield, Ohio"
2012-06-28,"Carlisle, PA",Ohio,"Springfield, Ohio"
2012-06-29,"Carlisle, PA",Michigan,"Reading, Michigan"
2012-06-30,"Carlisle, PA",Michigan,"Reading, Michigan"
2012-07-01,"Carlisle, PA",Michigan,"Reading, Michigan"
2012-07-02,"Carlisle, PA",Michigan,"Reading, Michigan"
2012-07-03,"Carlisle, PA",Ohio,"Springfield, Ohio"
2012-07-04,"Carlisle, PA",Ohio,"Springfield, Ohio"
2012-07-05,"Carlisle, PA",Ohio,"Springfield, Ohio"
2012-07-06,"Carlisle, PA",Colorado,"Denver, Colorado"
2012-07-07,"Carlisle, PA",Colorado,"Denver, Colorado"
2012-07-08,"Carlisle, PA",Montana,"Somers, Montana"
2012-07-09,"Carlisle, PA",Montana,"Somers, Montana"
2012-07-10,"Carlisle, PA",Montana,"Glacier National Park, Montana"
