80,Tuesday,08/19/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,"Grandma, Grandpa Visit",
81,Wednesday,08/20/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,"Grandma, Grandpa Visit",
82,Thursday,08/21/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
83,Friday,08/22/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
84,Saturday,08/23/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
85,Sunday,08/24/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
86,Monday,08/25/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
87,Tuesday,08/26/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
88,Wednesday,08/27/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
89,Thursday,08/28/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
90,Friday,08/29/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
91,Saturday,08/30/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
92,Sunday,08/31/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
93,Monday,09/01/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
94,Tuesday,09/02/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
95,Wednesday,09/03/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
96,Thursday,09/04/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
97,Friday,09/05/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
98,Saturday,09/06/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
99,Sunday,09/07/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
100,Monday,09/08/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
101,Tuesday,09/09/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
102,Wednesday,09/10/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
103,Thursday,09/11/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
104,Friday,09/12/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
105,Saturday,09/13/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
106,Sunday,09/14/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
107,Monday,09/15/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
108,Tuesday,09/16/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
109,Wednesday,09/17/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
110,Thursday,09/18/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
111,Friday,09/19/1997,"Garmisch-Partenkirchen, DE",Austria,Salzburg,,
112,Saturday,09/20/1997,"Garmisch-Partenkirchen, DE",Austria,Salzburg,,
113,Sunday,09/21/1997,"Garmisch-Partenkirchen, DE",Austria,Salzburg,,
114,Monday,09/22/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
115,Tuesday,09/23/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
116,Wednesday,09/24/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
117,Thursday,09/25/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
118,Friday,09/26/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
119,Saturday,09/27/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
120,Sunday,09/28/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
121,Monday,09/29/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
122,Tuesday,09/30/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
123,Wednesday,10/01/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
124,Thursday,10/02/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
125,Friday,10/03/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
126,Saturday,10/04/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
127,Sunday,10/05/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
128,Monday,10/06/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
129,Tuesday,10/07/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
130,Wednesday,10/08/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
131,Thursday,10/09/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
132,Friday,10/10/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
133,Saturday,10/11/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
134,Sunday,10/12/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
135,Monday,10/13/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
136,Tuesday,10/14/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
137,Wednesday,10/15/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
138,Thursday,10/16/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
139,Friday,10/17/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
140,Saturday,10/18/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
141,Sunday,10/19/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
142,Monday,10/20/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
143,Tuesday,10/21/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
144,Wednesday,10/22/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
145,Thursday,10/23/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
146,Friday,10/24/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
147,Saturday,10/25/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
148,Sunday,10/26/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
149,Monday,10/27/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
150,Tuesday,10/28/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
151,Wednesday,10/29/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
152,Thursday,10/30/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
153,Friday,10/31/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
154,Saturday,11/01/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
155,Sunday,11/02/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
156,Monday,11/03/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
157,Tuesday,11/04/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
158,Wednesday,11/05/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
159,Thursday,11/06/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
160,Friday,11/07/1997,"Garmisch-Partenkirchen, DE",Germany,Garmisch-Partenkirchen,,
